"","Overall-Rank","Criteria.Ca-Rank","Criteria.Cb-Rank","Criteria.Cc-Rank","Criteria.Cd-Rank","Criteria.Ca-Value","Criteria.Cb-Value","Criteria.Cc-Value","Criteria.Cd-Value"
"KNN+LOG+AUT+PQN",748,1327,702,255,1,0.4016,0.6667,0.55,1
"KNN+CUT+AUT+QUA",749,1169,1,1120,1,0.3279,1,0.2167,1
"MDI+NON+LIN+NON",750,538,702,1053,1,0.0918,0.6667,0.2375,1
"MDI+LOG+EIG+VAS",751,1123,1,1172,1,0.3114,1,0.2083,1
"MDI+NON+LOE+POW",752,346,702,1259,1,0.0461,0.6667,0.175,1
"MDI+NON+LIN+AUT",753,1255,1,1053,1,0.3592,1,0.2375,1
"MDI+NON+MST+AUT",754,1255,1,1053,1,0.3592,1,0.2375,1
"KNN+CUT+EIG+PAR",755,630,702,980,1,0.1022,0.6667,0.2875,1
"MEI+LOG+CON+LEV",756,1344,702,272,1,0.4488,0.6667,0.5417,1
"KNN+CUT+RAN+NON",757,638,702,980,1,0.1024,0.6667,0.2875,1
"HAM+NON+MEA+VAS",758,1215,1,1109,1,0.3473,1,0.2208,1
"KNN+LOG+MEA+AUT",759,1179,1,1147,1,0.33,1,0.2125,1
"MDI+LOG+AUT+MED",760,1234,1,1094,1,0.3561,1,0.2292,1
"MDI+LOG+QUA+VAS",761,1114,702,527,1,0.3045,0.6667,0.4708,1
"KNN+CUT+PAR+NON",762,662,702,980,1,0.1053,0.6667,0.2875,1
"KNN+CUT+RAN+MEA",763,615,702,1031,1,0.1013,0.6667,0.2583,1
"MDI+NON+AUT+MED",764,1246,702,403,1,0.357,0.6667,0.5083,1
"KNN+LOG+LIW+VAS",765,1130,587,643,1,0.3161,0.7778,0.4292,1
"MEI+NON+LIW+NON",766,1321,702,342,1,0.3905,0.6667,0.5208,1
"MEI+CUT+MEA+AUT",767,1276,1,1096,1,0.3623,1,0.225,1
"MDI+LOG+AUT+MEA",768,1226,1,1147,1,0.3541,1,0.2125,1
"KNN+NON+PQN+RAN",769,620,702,1053,1,0.1017,0.6667,0.2375,1
"MDI+NON+MST+PAR",770,149,1178,1053,1,0.004,0.6667,0.2375,1
"MEI+CUT+LIN+AUT",771,1271,1,1120,1,0.3619,1,0.2167,1
"MEI+CUT+MST+AUT",772,1271,1,1120,1,0.3619,1,0.2167,1
"KNN+NON+AUT+QUA",773,1160,1,1234,1,0.3264,1,0.1833,1
"MEI+NON+EIG+AUT",774,1183,702,517,1,0.3321,0.6667,0.475,1
"MEI+CUT+POW+MEA",775,198,1178,1035,1,0.0156,0.6667,0.2542,1
"MEI+CUT+LEV+MED",776,268,1178,977,1,0.0306,0.6667,0.2917,1
"MDI+CUT+RAN+MEA",777,684,702,1037,1,0.1079,0.6667,0.25,1
"MEI+LOG+LOE+VAS",778,1166,1,1259,1,0.3278,1,0.175,1
"MDI+LOG+LOE+RAN",779,732,702,998,1,0.1106,0.6667,0.2833,1
"MEI+LOG+LIW+PAR",780,1109,702,623,1,0.3016,0.6667,0.4417,1
"KNN+NON+LIW+AUT",781,1126,702,606,1,0.3146,0.6667,0.4458,1
"KNN+CUT+AUT+PQN",782,1308,702,429,1,0.3728,0.6667,0.4958,1
"MDI+LOG+PQN+VAS",783,1161,1,1279,1,0.3264,1,0.1708,1
"MEI+CUT+MED+NON",784,270,1178,995,1,0.0307,0.6667,0.2833,1
"MDI+NON+LIW+AUT",785,1210,702,537,1,0.3439,0.6667,0.4667,1
"KNN+CUT+PQN+RAN",786,640,702,1109,1,0.1025,0.6667,0.2208,1
"KNN+NON+AUT+LIW",787,1212,702,537,1,0.3447,0.6667,0.4667,1
"KNN+LOG+MED+RAN",788,633,702,1120,1,0.1022,0.6667,0.2167,1
"KNN+LOG+LOE+RAN",789,667,702,1087,1,0.106,0.6667,0.2333,1
"KNN+CUT+EIG+LEV",790,299,1178,980,1,0.0352,0.6667,0.2875,1
"HAM+NON+LOE+LEV",791,788,702,970,1,0.1299,0.6667,0.2958,1
"KNN+CUT+LEV+NON",792,306,1178,980,1,0.0365,0.6667,0.2875,1
"MEI+CUT+LIN+POW",793,202,1178,1086,1,0.0156,0.6667,0.2333,1
"MDI+LOG+MEA+VAS",794,1133,1,1333,1,0.3166,1,0.1542,1
"MDI+NON+LOE+NON",795,618,702,1147,1,0.1014,0.6667,0.2125,1
"MDI+LOG+LIW+AUT",796,1202,702,572,1,0.3395,0.6667,0.4542,1
"MEI+CUT+LEV+MEA",797,273,1178,1030,1,0.0308,0.6667,0.2625,1
"KNN+LOG+LIW+AUT",798,1146,702,643,1,0.3214,0.6667,0.4292,1
"MEI+CUT+AUT+PQN",799,1310,702,494,1,0.3747,0.6667,0.4792,1
"KNN+CUT+LIW+AUT",800,1129,702,675,1,0.3158,0.6667,0.4208,1
"MDI+LOG+LOE+NON",801,807,702,998,1,0.1384,0.6667,0.2833,1
"KNN+NON+AUT+PQN",802,1199,702,606,1,0.3367,0.6667,0.4458,1
"MEI+LOG+MED+NON",803,799,702,1009,1,0.1356,0.6667,0.275,1
"MDI+NON+AUT+LOE",804,1222,702,589,1,0.3534,0.6667,0.45,1
"HAM+LOG+VAS+PQN",805,1363,660,494,1,0.5403,0.7222,0.4792,1
"KNN+CUT+RAN+MED",806,626,702,1189,1,0.1019,0.6667,0.2,1
"MEI+CUT+MEA+RAN",807,722,702,1096,1,0.1098,0.6667,0.225,1
"MDI+LOG+EIG+NON",808,660,702,1172,1,0.105,0.6667,0.2083,1
"KNN+NON+RAN+MEA",809,612,702,1220,1,0.1009,0.6667,0.1875,1
"MEI+NON+POW+MED",810,351,1178,1008,1,0.0463,0.6667,0.2792,1
"MEI+CUT+LIN+RAN",811,717,702,1120,1,0.1097,0.6667,0.2167,1
"MEI+CUT+MST+RAN",812,717,702,1120,1,0.1097,0.6667,0.2167,1
"HAM+NON+LOE+PAR",813,867,702,970,1,0.1692,0.6667,0.2958,1
"MEI+LOG+SUM+RAN",814,322,645,44,1530,0.0415,0.7222,0.725,0.8889
"KNN+NON+POW+LIW",815,875,660,1009,1,0.1719,0.7222,0.275,1
"MEI+NON+LOE+NON",816,657,702,1189,1,0.1046,0.6667,0.2,1
"MEI+NON+POW+MEA",817,356,1178,1016,1,0.0466,0.6667,0.2708,1
"HAM+CUT+LIN+NON",818,320,1178,1053,1,0.0414,0.6667,0.2375,1
"HAM+CUT+POW+NON",819,229,1178,1147,1,0.0214,0.6667,0.2125,1
"MDI+LOG+AUT+LIW",820,1288,702,572,1,0.3649,0.6667,0.4542,1
"MDI+LOG+RAN+PQN",821,741,702,1120,1,0.1112,0.6667,0.2167,1
"MDI+NON+PQN+NON",822,589,702,1279,1,0.0984,0.6667,0.1708,1
"MDI+NON+AUT+MEA",823,1229,702,639,1,0.3545,0.6667,0.4333,1
"MDI+LOG+RAN+MEA",824,683,702,1187,1,0.1078,0.6667,0.2042,1
"MDI+NON+LOE+RAN",825,726,702,1147,1,0.11,0.6667,0.2125,1
"KNN+NON+LEV+MEA",826,564,702,1309,1,0.0961,0.6667,0.1625,1
"MDI+CUT+MED+RAN",827,685,702,1189,1,0.108,0.6667,0.2,1
"HAM+CUT+LIN+LEV",828,347,1178,1053,1,0.0462,0.6667,0.2375,1
"HAM+CUT+MST+LEV",829,347,1178,1053,1,0.0462,0.6667,0.2375,1
"KNN+CUT+PQN+LEV",830,302,1178,1106,1,0.036,0.6667,0.2208,1
"MEI+LOG+LIW+AUT",831,1262,702,623,1,0.3607,0.6667,0.4417,1
"MDI+NON+CON+RAN",832,771,587,1234,1,0.1224,0.7778,0.1833,1
"MEI+CUT+LIN+LEV",833,274,1178,1141,1,0.0309,0.6667,0.2167,1
"MEI+CUT+MST+LEV",834,274,1178,1141,1,0.0309,0.6667,0.2167,1
"MEI+CUT+LIN+NON",835,281,1178,1141,1,0.031,0.6667,0.2167,1
"MDI+NON+LIN+PAR",836,845,702,1053,1,0.1627,0.6667,0.2375,1
"MDI+CUT+POW+PQN",837,203,1178,1220,1,0.0156,0.6667,0.1875,1
"MDI+NON+LIN+POW",838,329,1178,1096,1,0.0439,0.6667,0.225,1
"HAM+NON+MEA+NON",839,793,702,1109,1,0.1341,0.6667,0.2208,1
"KNN+NON+MEA+PAR",840,1145,702,759,1,0.321,0.6667,0.3875,1
"HAM+NON+POW+PQN",841,412,1178,1029,1,0.0635,0.6667,0.2667,1
"MEI+CUT+LOE+PAR",842,610,702,1309,1,0.1006,0.6667,0.1625,1
"KNN+NON+POW+NON",843,466,1178,977,1,0.084,0.6667,0.2917,1
"MDI+CUT+MED+NON",844,256,1178,1189,1,0.03,0.6667,0.2,1
"MDI+LOG+MED+RAN",845,678,702,1245,1,0.1075,0.6667,0.1792,1
"MEI+LOG+SUM+VAS",846,410,645,44,1530,0.0631,0.7222,0.725,0.8889
"HAM+CUT+LIN+POW",847,231,1178,1220,1,0.0217,0.6667,0.1875,1
"KNN+NON+POW+EIG",848,457,1178,995,1,0.082,0.6667,0.2833,1
"KNN+CUT+MED+RAN",849,639,702,1293,1,0.1024,0.6667,0.1667,1
"MEI+LOG+LIW+NON",850,1311,702,623,1,0.375,0.6667,0.4417,1
"MDI+CUT+RAN+EIG",851,421,1178,1037,1,0.0662,0.6667,0.25,1
"MDI+NON+MST+POW",852,83,1457,1096,1,0.0011,0.6667,0.225,1
"KNN+LOG+VAS+MED",853,1380,702,555,1,0.6354,0.6667,0.4625,1
"MEI+NON+LOE+RAN",854,751,702,1189,1,0.1125,0.6667,0.2,1
"MEI+CUT+MST+POW",855,80,1478,1085,1,4e-04,0.6667,0.2333,1
"MEI+LOG+MED+PAR",856,932,702,1009,1,0.204,0.6667,0.275,1
"MDI+NON+LEV+MEA",857,486,1178,980,1,0.086,0.6667,0.2875,1
"HAM+CUT+MST+PAR",858,134,1457,1053,1,0.0024,0.6667,0.2375,1
"KNN+LOG+RAN+MST",859,128,1178,1340,1,0.0022,0.6667,0.15,1
"MDI+NON+EIG+AUT",860,1163,702,783,1,0.3269,0.6667,0.375,1
"MDI+LOG+LOE+PAR",861,953,702,998,1,0.2081,0.6667,0.2833,1
"HAM+NON+LOE+RAN",862,508,1178,969,1,0.0878,0.6667,0.2958,1
"MEI+CUT+LOE+POW",863,204,1178,1275,1,0.0158,0.6667,0.1708,1
"MDI+CUT+RAN+PQN",864,721,702,1234,1,0.1098,0.6667,0.1833,1
"MEI+NON+LEV+MEA",865,500,1178,980,1,0.0869,0.6667,0.2875,1
"KNN+NON+RAN+MED",866,619,702,1340,1,0.1015,0.6667,0.15,1
"HAM+CUT+LIN+RAN",867,434,1178,1053,1,0.0737,0.6667,0.2375,1
"HAM+CUT+MST+RAN",868,434,1178,1053,1,0.0737,0.6667,0.2375,1
"HAM+LOG+CON+VAS",869,949,702,1018,1,0.2077,0.6667,0.2708,1
"KNN+LOG+LOE+NON",870,881,702,1087,1,0.1733,0.6667,0.2333,1
"MDI+NON+MEA+AUT",871,1260,702,713,1,0.3603,0.6667,0.4042,1
"MDI+LOG+PAR+QUA",872,927,702,1049,1,0.2015,0.6667,0.2417,1
"MDI+NON+PQN+RAN",873,700,702,1279,1,0.1088,0.6667,0.1708,1
"MDI+LOG+PQN+RAN",874,701,702,1279,1,0.1089,0.6667,0.1708,1
"MDI+CUT+LOE+POW",875,200,1178,1305,1,0.0156,0.6667,0.1667,1
"MDI+CUT+LOE+RAN",876,728,702,1259,1,0.1102,0.6667,0.175,1
"MDI+CUT+LEV+PQN",877,280,1178,1232,1,0.031,0.6667,0.1833,1
"HAM+NON+MEA+PAR",878,891,702,1109,1,0.1781,0.6667,0.2208,1
"MDI+LOG+MEA+RAN",879,669,702,1333,1,0.1063,0.6667,0.1542,1
"HAM+LOG+CON+RAN",880,511,1178,1016,1,0.0881,0.6667,0.2708,1
"HAM+CUT+LEV+NON",881,340,1178,1189,1,0.0455,0.6667,0.2,1
"MEI+LOG+LOE+RAN",882,749,702,1259,1,0.112,0.6667,0.175,1
"MEI+LOG+AUT+LIW",883,1205,702,803,1,0.341,0.6667,0.3708,1
"MDI+CUT+LOE+NON",884,276,1178,1259,1,0.0309,0.6667,0.175,1
"HAM+LOG+VAS+MED",885,1351,587,776,1,0.4779,0.7778,0.3792,1
"MDI+NON+LIN+LEV",886,484,1178,1053,1,0.0859,0.6667,0.2375,1
"MDI+NON+MST+LEV",887,484,1178,1053,1,0.0859,0.6667,0.2375,1
"MDI+LOG+EIG+PAR",888,842,702,1172,1,0.1622,0.6667,0.2083,1
"KNN+LOG+AUT+MEA",889,1162,702,852,1,0.3267,0.6667,0.35,1
"MDI+LOG+PAR+LOE",890,929,702,1087,1,0.2017,0.6667,0.2333,1
"MDI+LOG+PAR+MEA",891,920,702,1096,1,0.2002,0.6667,0.225,1
"MDI+CUT+LOE+LEV",892,283,1178,1259,1,0.0311,0.6667,0.175,1
"MDI+CUT+PQN+RAN",893,694,702,1326,1,0.1085,0.6667,0.1583,1
"MDI+NON+LOE+PAR",894,880,702,1147,1,0.1729,0.6667,0.2125,1
"MDI+LOG+PAR+EIG",895,823,702,1210,1,0.1465,0.6667,0.1958,1
"MDI+NON+MEA+VAS",896,1322,702,713,1,0.3941,0.6667,0.4042,1
"MDI+LOG+MED+NON",897,791,702,1245,1,0.133,0.6667,0.1792,1
"MDI+NON+MED+VAS",898,1137,702,900,1,0.3187,0.6667,0.3292,1
"MEI+CUT+MST+PAR",899,137,1457,1146,1,0.0024,0.6667,0.2167,1
"KNN+CUT+EIG+RAN",900,583,1178,980,1,0.0981,0.6667,0.2875,1
"MDI+LOG+RAN+EIG",901,423,1178,1141,1,0.0666,0.6667,0.2167,1
"MDI+LOG+PAR+MED",902,923,702,1120,1,0.2004,0.6667,0.2167,1
"KNN+NON+PQN+PAR",903,990,702,1053,1,0.2217,0.6667,0.2375,1
"HAM+CUT+LIN+AUT",904,991,702,1053,1,0.222,0.6667,0.2375,1
"HAM+CUT+MST+AUT",905,991,702,1053,1,0.222,0.6667,0.2375,1
"MDI+CUT+AUT+EIG",906,993,702,1053,1,0.2225,0.6667,0.2375,1
"KNN+LOG+VAS+EIG",907,1334,702,713,1,0.4325,0.6667,0.4042,1
"MEI+CUT+MED+PAR",908,579,1178,995,1,0.0977,0.6667,0.2833,1
"MDI+NON+POW+PQN",909,354,1178,1220,1,0.0465,0.6667,0.1875,1
"HAM+CUT+LIN+PAR",910,524,1178,1053,1,0.0899,0.6667,0.2375,1
"MEI+NON+LOE+POW",911,358,1178,1220,1,0.047,0.6667,0.1875,1
"HAM+NON+LOE+AUT",912,1085,702,970,1,0.2806,0.6667,0.2958,1
"MDI+CUT+PQN+NON",913,257,1178,1323,1,0.03,0.6667,0.1583,1
"HAM+CUT+MST+POW",914,82,1457,1220,1,6e-04,0.6667,0.1875,1
"MEI+CUT+LOE+RAN",915,750,702,1309,1,0.1123,0.6667,0.1625,1
"MDI+CUT+PQN+LEV",916,260,1178,1323,1,0.0302,0.6667,0.1583,1
"KNN+LOG+AUT+NON",917,1168,702,892,1,0.3278,0.6667,0.3333,1
"HAM+LOG+NON",918,917,702,1147,1,0.199,0.6667,0.2125,1
"MDI+CUT+PAR+LOE",919,556,1178,1035,1,0.0953,0.6667,0.2542,1
"MDI+LOG+PAR+PQN",920,947,702,1120,1,0.2072,0.6667,0.2167,1
"HAM+LOG+PAR+NON",921,921,702,1147,1,0.2003,0.6667,0.2125,1
"MEI+CUT+LOE+LEV",922,284,1178,1309,1,0.0315,0.6667,0.1625,1
"MEI+CUT+LOE+NON",923,285,1178,1309,1,0.0315,0.6667,0.1625,1
"MDI+NON+POW+MEA",924,338,1178,1257,1,0.0455,0.6667,0.1792,1
"MEI+LOG+LOE+NON",925,813,702,1259,1,0.1402,0.6667,0.175,1
"HAM+NON+NON",926,779,702,1293,1,0.124,0.6667,0.1667,1
"MDI+CUT+PAR+MED",927,554,1178,1043,1,0.0953,0.6667,0.2458,1
"MDI+CUT+PAR+MEA",928,555,1178,1043,1,0.0953,0.6667,0.2458,1
"MDI+LOG+PQN+NON",929,795,702,1279,1,0.1343,0.6667,0.1708,1
"KNN+CUT+LOE+AUT",930,1214,702,860,1,0.3463,0.6667,0.3458,1
"KNN+LOG+LOE+PAR",931,988,702,1087,1,0.2211,0.6667,0.2333,1
"KNN+LOG+AUT+LOE",932,1167,702,908,1,0.3278,0.6667,0.3208,1
"HAM+CUT+POW+LIN",933,325,1178,1275,1,0.0424,0.6667,0.1708,1
"KNN+NON+PQN+LEV",934,547,1178,1053,1,0.0942,0.6667,0.2375,1
"HAM+LOG+MEA+PAR",935,908,702,1172,1,0.1928,0.6667,0.2083,1
"MEI+NON+LOE+PAR",936,892,702,1189,1,0.1783,0.6667,0.2,1
"HAM+LOG+RAN+NON",937,459,1178,1147,1,0.0825,0.6667,0.2125,1
"HAM+NON+PAR+PQN",938,840,702,1245,1,0.1612,0.6667,0.1792,1
"KNN+CUT+LEV+MEA",939,304,1178,1305,1,0.0361,0.6667,0.1667,1
"MEI+LOG+AUT+NON",940,1269,702,817,1,0.3617,0.6667,0.3667,1
"KNN+CUT+LEV+MED",941,301,1178,1309,1,0.0359,0.6667,0.1625,1
"KNN+LOG+AUT+LIW",942,1201,702,886,1,0.3382,0.6667,0.3375,1
"HAM+NON+POW+NON",943,396,1178,1217,1,0.0595,0.6667,0.1917,1
"KNN+LOG+AUT+MED",944,1170,702,925,1,0.3281,0.6667,0.3125,1
"HAM+LOG+CON+AUT",945,1080,702,1018,1,0.2767,0.6667,0.2708,1
"HAM+NON+LEV+MED",946,777,702,1326,1,0.1238,0.6667,0.1583,1
"MDI+LOG+AUT+EIG",947,997,702,1109,1,0.2246,0.6667,0.2208,1
"KNN+NON+PQN+POW",948,462,1178,1168,1,0.083,0.6667,0.2083,1
"KNN+NON+AUT+NON",949,1156,702,952,1,0.3253,0.6667,0.3042,1
"HAM+LOG+MEA+NON",950,943,702,1172,1,0.2061,0.6667,0.2083,1
"MDI+NON+PAR+LIW",951,1180,702,938,1,0.33,0.6667,0.3083,1
"KNN+NON+MED+AUT",952,1158,702,960,1,0.3256,0.6667,0.3,1
"MDI+NON+PQN+POW",953,337,1178,1309,1,0.0453,0.6667,0.1625,1
"MDI+LOG+MEA+NON",954,796,702,1333,1,0.1345,0.6667,0.1542,1
"HAM+NON+PAR+NON",955,838,702,1293,1,0.1593,0.6667,0.1667,1
"MDI+NON+LOE+LEV",956,509,1178,1147,1,0.088,0.6667,0.2125,1
"HAM+CUT+RAN+NON",957,468,1178,1189,1,0.0845,0.6667,0.2,1
"MDI+NON+PQN+PAR",958,857,702,1279,1,0.1675,0.6667,0.1708,1
"MDI+NON+MED+AUT",959,1236,702,900,1,0.3564,0.6667,0.3292,1
"MEI+CUT+AUT+NON",960,1284,702,860,1,0.364,0.6667,0.3458,1
"HAM+NON+MEA+RAN",961,566,1178,1106,1,0.0961,0.6667,0.2208,1
"HAM+LOG+VAS+EIG",962,1309,501,1047,1,0.3736,0.9444,0.2458,1
"MEI+CUT+MEA+PAR",963,588,1178,1096,1,0.0984,0.6667,0.225,1
"HAM+LOG+PQN+RAN",964,470,1178,1217,1,0.0847,0.6667,0.1917,1
"MDI+LOG+MED+PAR",965,919,702,1245,1,0.2,0.6667,0.1792,1
"MDI+LOG+EIG+RAN",966,527,1178,1168,1,0.0908,0.6667,0.2083,1
"HAM+CUT+VSN",967,954,702,1220,1,0.2086,0.6667,0.1875,1
"HAM+CUT+POW+MST",968,146,1457,1274,1,0.003,0.6667,0.1708,1
"HAM+LOG+AUT+NON",969,1031,702,1147,1,0.252,0.6667,0.2125,1
"MEI+NON+LOE+LEV",970,517,1178,1189,1,0.0888,0.6667,0.2,1
"HAM+LOG+PQN+PAR",971,980,702,1211,1,0.2187,0.6667,0.1917,1
"MEI+LOG+SUM+AUT",972,671,660,44,1523,0.1064,0.7222,0.725,0.8889
"HAM+LOG+PQN+NON",973,995,702,1211,1,0.2243,0.6667,0.1917,1
"MDI+LOG+PQN+PAR",974,928,702,1279,1,0.2016,0.6667,0.1708,1
"HAM+CUT+PAR+NON",975,542,1178,1189,1,0.093,0.6667,0.2,1
"MEI+CUT+LIN+PAR",976,592,1178,1141,1,0.0985,0.6667,0.2167,1
"MEI+CUT+PAR+CON",977,911,660,1340,1,0.1956,0.7222,0.15,1
"MDI+NON+VSN",978,1300,702,910,1,0.3685,0.6667,0.3167,1
"KNN+NON+POW+MED",979,461,1178,1275,1,0.083,0.6667,0.1708,1
"MEI+NON+MED+AUT",980,1278,702,938,1,0.3623,0.6667,0.3083,1
"MEI+NON+PQN+AUT",981,1292,702,925,1,0.3658,0.6667,0.3125,1
"HAM+CUT+LEV+MST",982,131,1480,1309,1,0.0023,0.6111,0.1625,1
"MDI+CUT+MED+PAR",983,558,1178,1189,1,0.0955,0.6667,0.2,1
"MEI+LOG+LOE+PAR",984,966,702,1259,1,0.2114,0.6667,0.175,1
"MEI+NON+AUT+NON",985,1291,702,938,1,0.3656,0.6667,0.3083,1
"HAM+CUT+AUT+NON",986,1040,702,1189,1,0.2595,0.6667,0.2,1
"MDI+NON+PQN+LEV",987,479,1178,1275,1,0.0855,0.6667,0.1708,1
"KNN+LOG+AUT+MST",988,136,1480,1322,1,0.0024,0.6111,0.1583,1
"KNN+NON+LEV+MED",989,548,1178,1217,1,0.0943,0.6667,0.1917,1
"HAM+NON+RAN+PQN",990,516,1178,1257,1,0.0886,0.6667,0.1792,1
"MDI+LOG+MEA+PAR",991,924,702,1333,1,0.2005,0.6667,0.1542,1
"HAM+CUT+LEV+LIN",992,172,1480,1309,1,0.0097,0.6111,0.1625,1
"HAM+CUT+CON+AUT",993,1241,550,1172,1,0.3567,0.8333,0.2083,1
"KNN+NON+PAR+MED",994,983,702,1279,1,0.2203,0.6667,0.1708,1
"HAM+LOG+PQN+AUT",995,1055,702,1211,1,0.2643,0.6667,0.1917,1
"KNN+LOG+VAS+NON",996,1379,702,892,1,0.6328,0.6667,0.3333,1
"KNN+NON+MED+VAS",997,1314,702,960,1,0.3817,0.6667,0.3,1
"HAM+NON+VSN",998,580,1178,1220,1,0.0978,0.6667,0.1875,1
"MDI+LOG+EIG+AUT",999,1105,702,1172,1,0.2985,0.6667,0.2083,1
"MDI+CUT+PAR+PQN",1000,570,1178,1232,1,0.0973,0.6667,0.1833,1
"HAM+NON+RAN+NON",1001,506,1178,1305,1,0.0876,0.6667,0.1667,1
"KNN+LOG+RAN+LIN",1002,492,1178,1340,1,0.0863,0.6667,0.15,1
"KNN+NON+MED+NON",1003,1357,702,960,1,0.5244,0.6667,0.3,1
"HAM+NON+AUT+PQN",1004,1074,702,1245,1,0.2732,0.6667,0.1792,1
"MDI+CUT+LOE+PAR",1005,591,1178,1259,1,0.0984,0.6667,0.175,1
"HAM+LOG+VSN",1006,1089,702,1259,1,0.2822,0.6667,0.175,1
"HAM+NON+AUT+NON",1007,1064,702,1293,1,0.2703,0.6667,0.1667,1
"MDI+CUT+PQN+PAR",1008,559,1178,1323,1,0.0956,0.6667,0.1583,1
"HAM+CUT+PAR+QUA",1009,557,1178,1340,1,0.0954,0.6667,0.15,1
"MEI+LOG+SUM+LEV",1010,894,660,44,1523,0.1793,0.7222,0.725,0.8889
"KNN+CUT+MED+VAS",1011,1365,524,1293,1,0.5515,0.8889,0.1667,1
"KNN+NON+LIN+NON",1012,1362,1541,321,1,0.5357,0.5,0.525,1
"KNN+NON+MEA+VAS",1013,1197,1508,759,1,0.3365,0.6111,0.3875,1
"KNN+NON+NON",1014,1358,1508,952,1,0.5264,0.6111,0.3042,1
"KNN+LOG+AUT+LIN",1015,1036,1508,1326,1,0.2586,0.6111,0.1583,1
"KNN+NON+AUT+CON",1016,1032,660,1220,1516,0.2521,0.7222,0.1875,0.9444
"MEI+NON+AUT+CON",1017,1328,702,952,1516,0.4016,0.6667,0.3042,0.9444
"MDI+CUT+AUT+CON",1018,1353,501,1245,1506,0.4971,0.9444,0.1792,0.9722
"KNN+CUT+EIG+AUT",1019,1132,702,980,1,0.3163,0.6667,0.2875,1
"MDI+LOG+LOE+VAS",1020,1125,702,998,1,0.3146,0.6667,0.2833,1
"KNN+CUT+AUT+NON",1021,1165,702,980,1,0.3273,0.6667,0.2875,1
"KNN+CUT+AUT+MEA",1022,1154,702,1037,1,0.3245,0.6667,0.25,1
"KNN+NON+PQN+AUT",1023,1157,702,1053,1,0.3255,0.6667,0.2375,1
"HAM+NON+MEA+AUT",1024,1117,702,1109,1,0.3055,0.6667,0.2208,1
"KNN+CUT+AUT+LOE",1025,1140,702,1120,1,0.32,0.6667,0.2167,1
"MDI+LOG+LOE+AUT",1026,1287,702,998,1,0.3649,0.6667,0.2833,1
"KNN+CUT+PQN+AUT",1027,1176,702,1109,1,0.3291,0.6667,0.2208,1
"MDI+CUT+VSN",1028,1316,702,970,1,0.3861,0.6667,0.2958,1
"KNN+LOG+MED+AUT",1029,1174,702,1120,1,0.3289,0.6667,0.2167,1
"KNN+LOG+LOE+AUT",1030,1211,702,1087,1,0.3446,0.6667,0.2333,1
"KNN+CUT+AUT+LIW",1031,1198,702,1109,1,0.3366,0.6667,0.2208,1
"MDI+CUT+MED+VAS",1032,1121,702,1189,1,0.3085,0.6667,0.2,1
"HAM+LOG+CON+LEV",1033,1339,702,1018,1,0.4411,0.6667,0.2708,1
"MDI+LOG+VSN",1034,1326,702,1033,1,0.3988,0.6667,0.2542,1
"MDI+LOG+MED+VAS",1035,1118,702,1245,1,0.3055,0.6667,0.1792,1
"MEI+CUT+AUT+LIW",1036,1315,702,1053,1,0.3833,0.6667,0.2375,1
"KNN+LOG+MED+VAS",1037,1367,587,1120,1,0.5675,0.7778,0.2167,1
"KNN+CUT+AUT+MED",1038,1164,702,1211,1,0.327,0.6667,0.1917,1
"HAM+LOG+VAS+NON",1039,1350,587,1147,1,0.4746,0.7778,0.2125,1
"MDI+LOG+AUT+PQN",1040,1282,702,1120,1,0.3634,0.6667,0.2167,1
"KNN+NON+AUT+MEA",1041,1148,702,1259,1,0.3217,0.6667,0.175,1
"MDI+NON+LOE+AUT",1042,1267,702,1147,1,0.3613,0.6667,0.2125,1
"MDI+CUT+MED+AUT",1043,1231,702,1189,1,0.3551,0.6667,0.2,1
"HAM+CUT+CON+PAR",1044,1303,660,1172,1,0.37,0.7222,0.2083,1
"KNN+NON+AUT+LOE",1045,1136,702,1309,1,0.3187,0.6667,0.1625,1
"HAM+CUT+CON+NON",1046,1323,660,1172,1,0.3956,0.7222,0.2083,1
"MDI+NON+CON+AUT",1047,1347,587,1234,1,0.4607,0.7778,0.1833,1
"KNN+CUT+MED+AUT",1048,1173,702,1293,1,0.3287,0.6667,0.1667,1
"MDI+LOG+MED+AUT",1049,1223,702,1245,1,0.3535,0.6667,0.1792,1
"MDI+CUT+AUT+PQN",1050,1253,702,1234,1,0.3589,0.6667,0.1833,1
"MEI+NON+LOE+AUT",1051,1304,702,1189,1,0.3709,0.6667,0.2,1
"MDI+LOG+PQN+AUT",1052,1240,702,1279,1,0.3566,0.6667,0.1708,1
"MDI+NON+PQN+AUT",1053,1247,702,1279,1,0.3572,0.6667,0.1708,1
"MDI+CUT+LOE+AUT",1054,1281,702,1259,1,0.3629,0.6667,0.175,1
"HAM+CUT+CON+LEV",1055,1372,702,1172,1,0.5891,0.6667,0.2083,1
"MDI+LOG+MEA+AUT",1056,1216,702,1333,1,0.3483,0.6667,0.1542,1
"MDI+CUT+AUT+LIW",1057,1265,702,1293,1,0.361,0.6667,0.1667,1
"MEI+LOG+LOE+AUT",1058,1305,702,1259,1,0.3711,0.6667,0.175,1
"MDI+CUT+PQN+AUT",1059,1238,702,1326,1,0.3565,0.6667,0.1583,1
"MDI+NON+CON+LEV",1060,1375,660,1234,1,0.6002,0.7222,0.1833,1
